Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12
2048,1024,512,256,128,64,32,16,8,4,2,1
2048,1024,512,256,128,64,32,16,8,4,2,2049
2048,1024,512,256,128,64,32,16,8,4,2050,1025
2048,1024,512,256,128,64,32,16,8,4,2050,3073
2048,1024,512,256,128,64,32,16,8,2052,1026,513
2048,1024,512,256,128,64,32,16,8,2052,1026,2561
2048,1024,512,256,128,64,32,16,8,2052,3074,1537
2048,1024,512,256,128,64,32,16,8,2052,3074,3585
2048,1024,512,256,128,64,32,16,2056,1028,514,257
2048,1024,512,256,128,64,32,16,2056,1028,514,2305
2048,1024,512,256,128,64,32,16,2056,1028,2562,1281
2048,1024,512,256,128,64,32,16,2056,1028,2562,3329
2048,1024,512,256,128,64,32,16,2056,3076,1538,769
2048,1024,512,256,128,64,32,16,2056,3076,1538,2817
2048,1024,512,256,128,64,32,16,2056,3076,3586,1793
2048,1024,512,256,128,64,32,16,2056,3076,3586,3841
2048,1024,512,256,128,64,32,2064,1032,516,258,129
2048,1024,512,256,128,64,32,2064,1032,516,258,2177
2048,1024,512,256,128,64,32,2064,1032,516,2306,1153
2048,1024,512,256,128,64,32,2064,1032,516,2306,3201
2048,1024,512,256,128,64,32,2064,1032,2564,1282,641
2048,1024,512,256,128,64,32,2064,1032,2564,1282,2689
2048,1024,512,256,128,64,32,2064,1032,2564,3330,1665
2048,1024,512,256,128,64,32,2064,1032,2564,3330,3713
2048,1024,512,256,128,64,32,2064,3080,1540,770,385
2048,1024,512,256,128,64,32,2064,3080,1540,770,2433
2048,1024,512,256,128,64,32,2064,3080,1540,2818,1409
2048,1024,512,256,128,64,32,2064,3080,1540,2818,3457
2048,1024,512,256,128,64,32,2064,3080,3588,1794,897
2048,1024,512,256,128,64,32,2064,3080,3588,1794,2945
2048,1024,512,256,128,64,32,2064,3080,3588,3842,1921
2048,1024,512,256,128,64,32,2064,3080,3588,3842,3969
2048,1024,512,256,128,64,2080,1040,520,260,130,65
2048,1024,512,256,128,64,2080,1040,520,260,130,2113
2048,1024,512,256,128,64,2080,1040,520,260,2178,1089
2048,1024,512,256,128,64,2080,1040,520,260,2178,3137
2048,1024,512,256,128,64,2080,1040,520,2308,1154,577
2048,1024,512,256,128,64,2080,1040,520,2308,1154,2625
2048,1024,512,256,128,64,2080,1040,520,2308,3202,1601
2048,1024,512,256,128,64,2080,1040,520,2308,3202,3649
2048,1024,512,256,128,64,2080,1040,2568,1284,642,321
2048,1024,512,256,128,64,2080,1040,2568,1284,642,2369
2048,1024,512,256,128,64,2080,1040,2568,1284,2690,1345
2048,1024,512,256,128,64,2080,1040,2568,1284,2690,3393
2048,1024,512,256,128,64,2080,1040,2568,3332,1666,833
2048,1024,512,256,128,64,2080,1040,2568,3332,1666,2881
2048,1024,512,256,128,64,2080,1040,2568,3332,3714,1857
2048,1024,512,256,128,64,2080,1040,2568,3332,3714,3905
2048,1024,512,256,128,64,2080,3088,1544,772,386,193
2048,1024,512,256,128,64,2080,3088,1544,772,386,2241
2048,1024,512,256,128,64,2080,3088,1544,772,2434,1217
2048,1024,512,256,128,64,2080,3088,1544,772,2434,3265
2048,1024,512,256,128,64,2080,3088,1544,2820,1410,705
2048,1024,512,256,128,64,2080,3088,1544,2820,1410,2753
2048,1024,512,256,128,64,2080,3088,1544,2820,3458,1729
2048,1024,512,256,128,64,2080,3088,1544,2820,3458,3777
2048,1024,512,256,128,64,2080,3088,3592,1796,898,449
2048,1024,512,256,128,64,2080,3088,3592,1796,898,2497
2048,1024,512,256,128,64,2080,3088,3592,1796,2946,1473
2048,1024,512,256,128,64,2080,3088,3592,1796,2946,3521
2048,1024,512,256,128,64,2080,3088,3592,3844,1922,961
2048,1024,512,256,128,64,2080,3088,3592,3844,1922,3009
2048,1024,512,256,128,64,2080,3088,3592,3844,3970,1985
2048,1024,512,256,128,64,2080,3088,3592,3844,3970,4033
2048,1024,512,256,128,2112,1056,528,264,132,66,33
2048,1024,512,256,128,2112,1056,528,264,132,66,2081
2048,1024,512,256,128,2112,1056,528,264,132,2114,1057
2048,1024,512,256,128,2112,1056,528,264,132,2114,3105
2048,1024,512,256,128,2112,1056,528,264,2180,1090,545
2048,1024,512,256,128,2112,1056,528,264,2180,1090,2593
2048,1024,512,256,128,2112,1056,528,264,2180,3138,1569
